letter	frequency
012-2426-2901	2942.34
012-2426-2902	5878.01
012-2426-2903	3534.69
012-2426-2904	1142.21
012-2426-2905	2989.54
012-2426-2906	2194.99
012-2426-2907	3179.02
012-2426-2908	3973.70
012-2426-2909	6728.09
012-2426-2910	5649.90
012-2426-2912	6974.53
012-2426-2913	4829.77
012-2426-2914	5058.26
012-2426-2915	1382.64
012-2426-2916	6032.80
012-2426-2917	4945.31
012-2426-2918	4347.40
012-2426-2919	4484.01
012-2426-2920	2545.14
012-2426-2921	2431.09
012-2426-2922	1484.17
012-2426-2924	7651.86
012-2426-2925	6125.41
012-2426-2926	1020.08
012-2426-2927	3789.48
012-2426-2928	8053.70
012-2426-2929	4322.37
012-2426-2930	4389.86
012-2426-2931	2119.89
012-2426-2932	4665.53
012-2426-2933	6173.73
012-2426-2934	4795.70
012-2426-2935	3882.24
012-2426-2936	4522.40
012-2426-2937	4339.40
012-2426-2939	3619.32
012-2426-2941	5292.13
012-2426-2942	7016.32
012-2426-2943	4506.03
012-2426-2945	6005.31
012-2426-2946	4348.06
012-2426-2947	5015.02
012-2426-2948	1500.53
012-2426-2949	2921.38
012-2426-2950	2428.13
012-2426-2951	1381.84
012-2426-2952	4723.97
012-2426-2953	3094.65
012-2426-2954	2676.35
012-2426-2955	3910.16
012-2426-2956	4710.57
012-2426-2957	4841.20
012-2426-2958	4769.07
012-2426-2959	3027.84
012-2426-2960	10114.84
012-2426-2961	4837.22
012-2426-2962	4232.96
012-2426-2963	281.48
012-2426-2964	5250.68
012-2426-2965	6672.34
012-2426-2966	3727.49
012-2426-2967	1693.71
012-2426-2968	4441.72
012-2426-2969	2447.63
012-2426-2971	12168.52
012-2426-2972	5617.59
012-2426-2973	6780.38
012-2426-2974	5901.44
012-2426-2975	3949.46
012-2426-2976	6634.02
012-2426-2977	4918.93
012-2426-2978	5407.61
012-2426-2979	4186.07
012-2426-2980	2815.44
012-2426-2981	3356.71
012-2426-2982	5221.70
012-2426-2983	6252.77
012-2426-2984	4053.92
012-2426-2985	10070.63
012-2426-2986	5711.39
012-2426-2987	1251.93
012-2426-2988	10456.18
012-2426-2989	2912.13
012-2426-2990	3883.63
012-2426-2991	110.31
012-2426-2992	3833.76
012-2426-2993	5212.92
012-2426-2994	4898.56
012-2426-2995	4146.45
012-2426-2996	679.06
012-2426-2997	4631.18
012-2426-2998	2591.68
012-2426-2999	9005.99
012-2426-3000	2638.05
012-2426-3002	3299.04
012-2426-3003	4545.27
012-2426-3004	3655.90
012-2426-3005	940.92
012-2426-3006	3343.89
012-2426-3007	4420.70
012-2426-3008	577.81
012-2426-3009	2997.36
012-2426-3010	890.02
012-2426-3011	6051.54
012-2426-3012	767.2
012-2426-3013	6277.69
012-2426-3015	3899.06
012-2426-3016	3185.25
012-2426-3017	2170.62
012-2426-3018	3945.21
012-2426-3019	5271.93
012-2426-3020	4276.17
012-2426-3021	2879.49
012-2426-3022	3994.16
012-2426-3023	456.48
012-2426-3024	2725.56
012-2426-3025	6385.04
012-2426-3026	753.12
012-2426-3027	4674.51
012-2426-3028	1336.90
012-2426-3029	6852.81
012-2426-3030	2373.81
012-2426-3031	1338.69
012-2426-3032	1930.27
012-2426-3033	2102.14
012-2426-3034	6508.77
012-2426-3035	2436.68
012-2426-3036	113.31
012-2426-3037	1421.17
012-2426-3038	1703.06
012-2426-3040	4967.20
012-2426-3041	2032.97
012-2426-3044	3601.94
012-2426-3045	82.09
012-2426-3046	1438.54
012-2426-3047	5285.05
012-2426-3048	5217.35
012-2426-3049	2036.80
012-2426-3050	5939.06
012-2426-3052	15807.82
012-2426-3053	4409.24
012-2426-3055	9617.61
012-2426-3058	392.03
012-2426-3060	3249.73
012-2426-3062	6611.95
012-2426-3063	4716.16
012-2426-3064	5086.89
012-2426-3065	3350.31
012-2426-3066	882.77
012-2426-3067	3435.63
012-2426-3068	995.85
012-2426-3069	1622.42
012-2426-3070	7555.71
012-2426-3071	2097.71
012-2426-3072	4228.50
012-2426-3073	4232.86
012-2426-3074	1182.39
012-2426-3075	256.52
012-2426-3076	3156.61
012-2426-3077	1938.07
012-2426-3078	4961.13
012-2426-3079	3185.43
012-2426-3080	682.19
012-2426-3081	4103.73
012-2426-3082	5217.18
012-2426-3084	2804.36
012-2426-3085	7334.52
012-2426-3086	5489.56
012-2426-3087	1273.19
012-2426-3088	2227.11
012-2426-3089	4037.38
012-2426-3090	2160.36
012-2426-3091	1850.71
012-2426-3092	4701.64
012-2426-3093	1669.44
012-2426-3095	2212.08
012-2426-3096	1363.40
012-2426-3097	2627.46
012-2426-3098	1252.72
012-2426-3099	502.34
012-2426-3100	6327.56
012-2426-3101	4919.30
012-2426-3102	7974.96
012-2426-3103	4606.87
012-2426-3104	3023.05
012-2426-3105	4529.67
012-2426-3106	3363.48
012-2426-3107	6289.62
012-2426-3108	4044.72
012-2426-3109	3804.29
012-2426-3110	5523.16
012-2426-3111	2996.83
012-2426-3112	7355.90
012-2426-3113	2680.59
012-2426-3114	3579.49
012-2426-3115	2493.93
012-2426-3116	2714.60
012-2426-3117	2209.65
012-2426-3118	1257.78
012-2426-3119	12792.56
012-2426-3120	3286.13
012-2426-3121	4333.65
012-2426-3122	3448.26
012-2426-3123	6479.34
012-2426-3124	5267.75
012-2426-3125	6885.65
